id,key,value,type
243205974,created_by,JOSM,regular
243205983,created_by,JOSM,regular
243205999,created_by,JOSM,regular
243206002,created_by,JOSM,regular
243206004,created_by,JOSM,regular
243206010,created_by,JOSM,regular
243206015,created_by,JOSM,regular
243206018,created_by,JOSM,regular
243206020,created_by,JOSM,regular
243206026,created_by,JOSM,regular
243206029,created_by,JOSM,regular
243206032,created_by,JOSM,regular
243206034,created_by,JOSM,regular
243206037,created_by,JOSM,regular
243206039,created_by,JOSM,regular
243206044,created_by,JOSM,regular
243206046,created_by,JOSM,regular
243206048,created_by,JOSM,regular
243206050,created_by,JOSM,regular
243206054,created_by,JOSM,regular
243206058,created_by,JOSM,regular
243206064,created_by,JOSM,regular
243206069,created_by,JOSM,regular
243206073,created_by,JOSM,regular
243206078,created_by,JOSM,regular
243206080,created_by,JOSM,regular
243206082,created_by,JOSM,regular
243206084,created_by,JOSM,regular
243206086,created_by,JOSM,regular
243206088,created_by,JOSM,regular
243206095,created_by,JOSM,regular
243206097,created_by,JOSM,regular
243206101,created_by,JOSM,regular
243206105,created_by,JOSM,regular
243206108,created_by,JOSM,regular
243206111,created_by,JOSM,regular
243206118,created_by,JOSM,regular
243206136,created_by,JOSM,regular
243206140,created_by,JOSM,regular
243206144,created_by,JOSM,regular
243206147,created_by,JOSM,regular
243206150,created_by,JOSM,regular
243206153,created_by,JOSM,regular
243206157,created_by,JOSM,regular
243206160,created_by,JOSM,regular
243206162,created_by,JOSM,regular
243206164,created_by,JOSM,regular
243206166,created_by,JOSM,regular
243206168,created_by,JOSM,regular
243206170,created_by,JOSM,regular
243206191,created_by,JOSM,regular
243206193,created_by,JOSM,regular
243206197,created_by,JOSM,regular
243206200,created_by,JOSM,regular
243206203,created_by,JOSM,regular
243206207,created_by,JOSM,regular
243210534,created_by,JOSM,regular
243210539,created_by,JOSM,regular
243210543,created_by,JOSM,regular
243210546,created_by,JOSM,regular
243210554,created_by,JOSM,regular
243210556,created_by,JOSM,regular
243210558,created_by,JOSM,regular
243210561,created_by,JOSM,regular
243210563,created_by,JOSM,regular
243210569,created_by,JOSM,regular
243210575,created_by,JOSM,regular
243210580,created_by,JOSM,regular
